County,Line,Facility_Name,Total_Emissions,Facility_Category,City,HoustonGalvestonBrazoria,TCEQ_12,Disaster_County,Harvey,Cause_Code,Event_Type,Event_Start_Date,Based_On,Event_End_Date,Y,X,Event_Start_Time,Event_End_Time,Zip,Total_2017_Events
ECTOR,89,GANDU SATELLITE 19,"1,338",OIL AND GAS PRODUCTION,ODESSA,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.053925,-102.711088,2:00:00 PM,1:30:00 PM,79741,2
ECTOR,90,GANDU SATELLITE 31,"1,826",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.044808,-102.697694,2:00:00 PM,1:30:00 PM,79741,9
ECTOR,91,GANDU SATELLITE 33,"1,447",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.048776,-102.679252,2:00:00 PM,1:30:00 PM,79741,10
HARRIS,92,GEON-OXY VINYL,100,CHEMICAL PRODUCTION,LA PORTE,YES,YES,YES,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/05/2017,29.727317,-95.075964,1:36:00 PM,2:12:00 PM,77571,4
ECTOR,93,GLDU STATION 13,"1,909",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.982494,-102.653794,2:00:00 PM,1:50:00 PM,79741,3
ECTOR,94,GLDU STATION 4,"1,740",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.021132,-102.683309,2:00:00 PM,1:50:00 PM,79741,10
ECTOR,95,GLDU STATION 8,"1,365",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.010462,-102.649863,2:00:00 PM,1:50:00 PM,79741,
ECTOR,96,GLDU STATION 9,"1,631",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.012168,-102.492623,2:00:00 PM,1:50:00 PM,79741,
GAINES,97,GMK FLARE FACILITY,"1,453",OIL AND GAS PRODUCTION,SEMINOLE,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/07/2017,32.734165,-102.592129,10:45:00 PM,3:30:00 AM,79360,20
ECTOR,98,GOLDSMITH GAS PLANT,0,OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,"UNKNOWN, EMISSION NOT REPORTABLE",EMISSIONS EVENT,08/24/2017,FINAL REPORT,08/24/2017,31.983333,-102.637500,1:00:00 PM,6:00:00 PM,79741,31
ECTOR,99,GOLDSMITH GAS PLANT,"4,309",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/01/2017,INITIAL REPORT,09/02/2017,31.983333,-102.637500,8:50:00 PM,2:02:00 AM,79741,31
ECTOR,100,GOLDSMITH GAS PLANT,"3,858",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/03/2017,INITIAL REPORT,09/04/2017,31.983333,-102.637500,7:01:00 PM,3:17:00 AM,79741,31
ECTOR,101,GOLDSMITH GAS PLANT,"3,159",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/04/2017,INITIAL REPORT,09/04/2017,31.983333,-102.637500,8:24:00 PM,11:24:00 PM,79741,31
ECTOR,102,GOLDSMITH GAS PLANT,"1,639",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/06/2017,31.983333,-102.637500,7:00:00 PM,3:30:00 AM,79741,31
ECTOR,103,GOLDSMITH LANDRETH DEEP UNIT CTB AND SATELLITE 11,"1,258",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.995830,-102.661574,2:00:00 PM,1:50:00 PM,79741,9
ECTOR,104,GOLDSMITH LANDRETH DEEP UNIT STATION 1,"3,545",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.013875,-102.670476,2:00:00 PM,1:50:00 PM,79741,10
ECTOR,105,GOLDSMITH LANDRETH DEEP UNIT STATION 10,"1,689",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.988056,-102.674722,2:00:00 PM,1:50:00 PM,79741,9
ECTOR,106,GOLDSMITH LANDRETH DEEP UNIT STATION 14,"1,286",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.986111,-102.629722,2:00:00 PM,1:50:00 PM,79741,7
ECTOR,107,GOLDSMITH LANDRETH DEEP UNIT STATION 3,"2,073",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/27/2017,32.015556,-102.686111,2:00:00 PM,2:00:00 PM,79741,6
ECTOR,108,GOLDSMITH LANDRETH DEEP UNIT STATION 5,"1,961",OIL AND GAS PRODUCTION,ODESSA,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.025556,-102.658333,2:00:00 PM,1:50:00 PM,79741,10
ECTOR,109,GOLDSMITH LANDRETH DEEP UNIT STATION 6,"4,748",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,32.022778,-102.645278,2:00:00 PM,1:50:00 PM,79741,10
ECTOR,110,GOLDSMITH LANDRETH SAN ANDRES CENTRAL UNIT,"1,018",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/02/2017,INITIAL REPORT,09/02/2017,31.991152,-102.635177,8:30:00 PM,11:47:00 PM,79741,1
ECTOR,111,GSAU 2 2 BATTERY,"21,903",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/26/2017,31.959467,-102.615338,4:00:00 PM,4:00:00 AM,79741,7
ECTOR,112,GSAU CENTRAL BATTERY,"8,488",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/25/2017,31.931647,-102.632777,4:00:00 PM,1:00:00 PM,79741,6
ECTOR,113,GSMITH LANDRETH DEEP ST12,"3,361",OIL AND GAS PRODUCTION,GOLDSMITH,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/23/2017,FINAL REPORT,08/24/2017,31.996667,-102.641667,2:00:00 PM,1:50:00 PM,79741,9
HOWARD,114,HOWARD GLASCOCK SOUR GAS INJECTION FACILITY,754,OIL AND GAS PRODUCTION,FORSAN,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/25/2017,FINAL REPORT,08/27/2017,32.142819,-101.269265,4:10:00 PM,4:54:00 PM,79720,15
HOWARD,115,HOWARD GLASCOCK SOUR GAS INJECTION FACILITY,"1,927",OIL AND GAS PRODUCTION,FORSAN,NO,NO,NO,NO,MAINTENANCE,EMISSIONS EVENT,09/01/2017,FINAL REPORT,09/01/2017,32.142819,-101.269265,3:16:00 PM,8:45:00 PM,79720,15
HOWARD,116,HOWARD GLASCOCK SOUR GAS INJECTION FACILITY,790,OIL AND GAS PRODUCTION,FORSAN,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/06/2017,FINAL REPORT,09/06/2017,32.142819,-101.269265,3:35:00 PM,4:00:00 PM,79720,15
JEFFERSON,117,HUNTSMAN PORT NECHES,"1,000",CHEMICAL PRODUCTION,PORT NECHES,NO,NO,YES,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/02/2017,INITIAL REPORT,09/02/2017,29.963056,-93.928889,5:00:00 AM,8:00:00 AM,77651,11
MARTIN,118,HWY MA LAS B323 S323 F03,"6,272",OIL AND GAS PRODUCTION,TARZAN,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,08/30/2017,32.258797,-102.150179,4:57:00 PM,4:57:00 PM,79783,1
MARTIN,119,HWY MA LAS B324 S324 F04,"5,274",OIL AND GAS PRODUCTION,TARZAN,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,08/30/2017,32.236437,-102.142889,4:57:00 PM,4:57:00 PM,79783,1
MIDLAND,120,HWY MI T&P B38T3S S36 F01,"6,054",OIL AND GAS PRODUCTION,MIDLAND,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,09/03/2017,INITIAL REPORT,09/04/2017,31.780090,-101.973472,8:53:00 PM,11:53:00 AM,79706,1
ORANGE,121,INVISTA SARL SABINE RIVER SITE,921,CHEMICAL AND  PLASTIC MANUFACTURING,ORANGE,NO,NO,NO,YES,POST-HURRICANE START UP,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,08/30/2017,30.054167,-93.752208,4:22:00 AM,1:47:00 PM,77631,7
NUECES,122,JAVELINA GAS PROCESSING FACILITY,"31,000",OIL AND GAS PRODUCTION,CORPUS CHRISTI,NO,NO,YES,YES,HURRICANE SHUT DOWN,EMISSIONS EVENT,08/24/2017,INITIAL REPORT,09/01/2017,27.805919,-97.457676,9:35:00 AM,5:35:00 PM,78403,8
CRANE,123,JT MCELROY 202 TB,867,OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/31/2017,INITIAL REPORT,09/01/2017,31.417857,-102.321722,1:00:00 PM,1:00:00 PM,79731,12
WASHINGTON,124,LONG POINT COMPRESSOR STATION,"8,523",OIL AND GAS PRODUCTION,BURTON,NO,NO,YES,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/27/2017,FINAL REPORT,08/27/2017,30.249202,-96.590202,6:00:00 AM,7:00:00 AM,77835,3
WASHINGTON,125,LONG POINT COMPRESSOR STATION,"5,563",OIL AND GAS PRODUCTION,BURTON,NO,NO,YES,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/28/2017,FINAL REPORT,08/28/2017,30.249202,-96.590202,8:00:00 AM,9:00:00 AM,77835,3
ANDREWS,126,MABEE RANCH C02 PLANT,967,NATURAL GAS COMPRESSION,MIDLAND,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/02/2017,INITIAL REPORT,09/03/2017,32.151463,-102.302214,11:45:00 AM,11:45:00 AM,79704,23
GALVESTON,127,MARATHON PETROLEUM TEXAS CITY REFINERY,"1,336",REFINERY,TEXAS CITY,YES,YES,YES,YES,POST-HURRICANE START UP,AIR STARTUP,08/30/2017,INITIAL REPORT,09/13/2017,29.376111,-94.908056,7:00:00 AM,7:00:00 AM,77590,13
GALVESTON,128,MARATHON PETROLEUM TEXAS CITY REFINERY,"7,928",REFINERY,TEXAS CITY,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/27/2017,FINAL REPORT,08/30/2017,29.376111,-94.908056,8:15:00 PM,1:45:00 PM,77590,13
GALVESTON,129,MARATHON PETROLEUM TEXAS CITY REFINERY,"20,106",REFINERY,TEXAS CITY,YES,YES,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/29/2017,FINAL REPORT,09/12/2017,29.376111,-94.908056,5:00:00 AM,5:00:00 AM,77590,13
FRIO,130,MARRS MCLEAN 6H 7H AND 8H PRODUCTION FACILITY,543,OIL AND GAS PRODUCTION,PEARSALL,NO,NO,NO,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER FACILITY,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,09/04/2017,28.680902,-98.868272,9:45:00 PM,9:45:00 PM,78061,3
ATASCOSA,131,MARS PRODUCTION FACILITY,501,,CHRISTINE,NO,NO,YES,YES,HURRICANE DISRUPTED CAPACITY TO OPERATE DUE TO OTHER FACILITY,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,08/28/2017,28.683572,-98.608792,,,78012,
HARRISON,132,MARSHALL PLANT,"5,041",CHEMICAL MANUFACTURING,MARSHALL,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/04/2017,INITIAL REPORT,09/05/2017,32.535981,-94.399072,7:17:00 PM,2:17:00 AM,75670,3
CRANE,133,MCELROY SECTION 199 EMERGENCY FLARE,831,OIL AND GAS PRODUCTION,CRANE,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/31/2017,INITIAL REPORT,09/01/2017,31.403870,-102.313921,1:00:00 PM,1:00:00 PM,79731,7
CRANE,134,MCKNIGHT II,"1,144",OIL AND GAS PRODUCTION,PENWELL,NO,NO,NO,YES,HURRICANE DISRUPTED ABILITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,08/31/2017,31.535489,-102.673682,3:00:00 PM,11:00:00 AM,79776,1
ANDREWS,135,MEANS TANK BATTERY 200,"1,054",OIL AND GAS PRODUCTION,ANDREWS,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/03/2017,INITIAL REPORT,09/04/2017,32.443401,-102.546411,6:45:00 AM,6:45:00 AM,79714,6
REAGAN,136,MIDKIFF GAS PLANT,"23,390",NATURAL  GAS COMPRESSION,MIDKIFF,NO,NO,NO,UNKNOWN,"UNKNOWN, NOT STATED",EMISSIONS EVENT,08/30/2017,INITIAL REPORT,08/30/2017,31.643478,-101.768281,12:11:00 AM,3:00:00 PM,79755,10
REAGAN,137,MIDKIFF GAS PLANT,385,NATURAL  GAS COMPRESSION,MIDKIFF,NO,NO,NO,NO,FACILITY OPERATION PROBLEM,EMISSIONS EVENT,08/26/2017,INITIAL REPORT,08/26/2017,31.643478,-101.768281,7:21:00 AM,10:23:00 AM,79755,10
ANDREWS,138,MIDMAR EAST GAS PLANT,553,NATURAL GAS PRODUCTION,MIDLAND,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/05/2017,32.179105,-102.193540,2:15:00 PM,7:40:00 PM,79714,2
EL PASO,139,NEWMAN POWER STATION,"5,506",POWER STATION,EL PASO,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/25/2017,INITIAL REPORT,08/25/2017,31.984433,-106.431228,5:00:00 AM,10:00:00 AM,79934,1
ECTOR,140,NORTH COWDEN REINJECTION COMPRESSOR FACILITY,"13,258",NATURAL GAS COMPRESSION,MIDLAND,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/07/2017,INITIAL REPORT,09/07/2017,31.988694,-102.576500,4:30:00 AM,2:30:00 PM,79760,13
HARRIS,141,PASADENA PLASTICS COMPLEX,"9,642",CHEMICAL PRODUCTION,PASADENA,YES,YES,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/26/2017,INITIAL REPORT,08/28/2017,29.727778,-95.181111,2:30:00 AM,1:10:00 PM,77506,2
HARRIS,142,PASADENA PRODUCT TERMINAL,314,PETROLEUM DISTRIBUTION,PASADENA,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/27/2017,FINAL REPORT,08/27/2017,29.715552,-95.182761,7:00:00 AM,10:36:00 AM,77506,4
HARRIS,143,PASADENA PRODUCT TERMINAL,314,PETROLEUM DISTRIBUTION,PASADENA,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/30/2017,FINAL REPORT,08/30/2017,29.715552,-95.182761,10:04:00 AM,4:04:00 PM,77506,4
HARRIS,144,PASADENA PRODUCT TERMINAL,0,PETROLEUM DISTRIBUTION,PASADENA,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/27/2017,FINAL REPORT,08/27/2017,29.715552,-95.182761,4:00:00 PM,6:33:00 PM,77506,4
HARRIS,145,PASADENA PRODUCT TERMINAL,0,PETROLEUM DISTRIBUTION,PASADENA,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/31/2017,FINAL REPORT,08/31/2017,29.715552,-95.182761,3:00:00 PM,10:00:00 PM,77506,4
HARRIS,146,PASADENA REFINING SYSTEM,720,REFINERY,PASADENA,YES,YES,YES,YES,HURRICANE SHUT DOWN,AIR SHUTDOWN,08/27/2017,INITIAL REPORT,08/27/2017,29.723889,-95.208888,10:30:00 AM,4:30:00 PM,77506,14
HARRIS,147,PASADENA REFINING SYSTEM,"5,760",REFINERY,PASADENA,YES,YES,YES,YES,POST-HURRICANE START UP,AIR STARTUP,09/05/2017,INITIAL REPORT,09/05/2017,29.723889,-95.208888,10:30:00 AM,6:30:00 PM,77506,14
HARRIS,148,PASADENA TERMINAL,"144,601",CHEMICAL PRODUCTION,PASADENA,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,08/28/2017,29.723367,-95.201953,10:45:00 AM,10:45:00 AM,77506,2
HARRIS,149,PASADENA TERMINAL,"21,458",CHEMICAL PRODUCTION,PASADENA,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,08/31/2017,29.723367,-95.201953,8:00:00 AM,8:00:00 AM,77506,2
FRIO,150,PICKENS A NO 6H ET AL PRODUCTION FACILITY,512,OIL AND GAS PRODUCTION,DILLEY,NO,NO,NO,YES,HURRICANE DISRUPTED ABILITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,09/04/2017,28.698527,-98.822403,9:45:00 PM,9:45:00 PM,78017,3
WEBB,151,PILONCILLO COMPRESSOR STATION,"16,238",NATURAL GAS COMPRESSION,CATARINA,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/29/2017,FINAL REPORT,08/29/2017,28.183836,-99.619788,1:00:00 PM,3:00:00 PM,78834,1
JEFFERSON,152,PORT ARTHUR REFINERY,"73,755",REFINERY,PORT ARTHUR,NO,NO,YES,YES,HURRICANE SHUT DOWN RELATED FLARING,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,08/30/2017,29.883333,-93.958333,12:01:00 AM,12:01:00 AM,77640,9
GAINES,153,ROBERTSON CLEARFORK INIT SAT 171,"5,352",OIL AND GAS PRODUCTION,SEMINOLE,NO,NO,NO,YES,HURRICANE SHUT IN,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,09/02/2017,32.634979,-102.762044,7:00:00 PM,7:00:00 PM,79360,5
GAINES,154,ROBERTSON CLEARFORK UNIT SAT 173,"11,019",OIL AND GAS PRODUCTION,SEMINOLE,NO,NO,NO,YES,HURRICANE SHUT IN,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,09/02/2017,32.627724,-102.741719,7:00:00 PM,7:00:00 PM,79360,1
GAINES,155,ROBERTSON CLEARFORK UNIT SAT 271,"2,403",OIL AND GAS PRODUCTION,SEMINOLE,NO,NO,NO,YES,HURRICANE SHUT IN,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,09/02/2017,32.635034,-102.762016,7:00:00 PM,7:00:00 PM,79360,2
GAINES,156,ROBERTSON CLEARFORK UNIT SAT 274,"2,990",OIL AND GAS PRODUCTION,SEMINOLE,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/28/2017,INITIAL REPORT,08/30/2017,32.647026,-102.743034,3:30:00 PM,3:30:00 PM,79360,4
KENT,157,SALT CREEK GAS PLANT,"4,655",OIL AND GAS PRODUCTION,CLAIREMONT,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/01/2017,INITIAL REPORT,09/01/2017,33.232433,-100.868728,12:30:00 AM,10:30:00 PM,79528,11
GAINES,158,SEMINOLE GAS PROCESSING PLANT,"30,899",NATURAL GAS PROCESSING,SEMINOLE,NO,NO,NO,NO,MAINTENANCE,MAINTENANCE,08/23/2017,FINAL REPORT,08/24/2017,32.757800,-102.681000,5:40:00 AM,10:20:00 AM,79360,21
GAINES,159,SEMINOLE GAS PROCESSING PLANT,"7,748",NATURAL GAS PROCESSING,SEMINOLE,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,08/30/2017,32.757359,-102.682919,,5:25:00 AM,79360,21
HARRIS,160,SHELL OIL DEER PARK,213,FLEET REFUELING,DEER PARK,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,08/27/2017,29.718083,-95.133556,10:00:00 AM,11:38:00 AM,77536,20
HARRIS,161,SHELL OIL DEER PARK,"42,412",FLEET REFUELING,DEER PARK,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/28/2017,INITIAL REPORT,08/28/2017,29.718083,-95.133556,8:00:00 AM,4:00:00 PM,77536,20
HARRIS,162,SHELL OIL DEER PARK,"1,057",FLEET REFUELING,DEER PARK,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,09/01/2017,FINAL REPORT,09/01/2017,29.718083,-95.133556,4:00:00 AM,5:00:00 AM,77536,20
HARRIS,163,SHELL OIL DEER PARK,679,FLEET REFUELING,DEER PARK,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/28/2017,FINAL REPORT,09/07/2017,29.718083,-95.133556,8:00:00 AM,10:00:00 AM,77536,20
HOCKLEY,164,SLAUGHTER GASOLINE PLANT,"22,197",GASOLINE PRODUCTION,SUNDOWN,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/07/2017,INITIAL REPORT,09/08/2017,33.464714,-102.555000,8:35:00 PM,5:00:00 AM,79372,2
LIVE OAK,165,SUGARLOAF STABILIZATION FACILITY,428,OIL AND GAS PRODUCTION,WHITSETT,NO,NO,YES,YES,HURRICANE CAUSED OPERATIONAL PROBLEM,EMISSIONS EVENT,08/27/2017,FINAL REPORT,08/27/2017,28.708992,-98.050164,2:00:00 PM,6:00:00 PM,78119,2
BRAZORIA,166,SWEENY REFINERY,919,FLEET REFUELING,OLD OCEAN,YES,YES,YES,YES,HURRICANE SHUT DOWN,EMISSIONS EVENT,08/27/2017,INITIAL REPORT,08/28/2017,29.070847,-95.750363,4:00:00 PM,12:00:00 PM,77463,6
RUNNELS,167,SYKES COMPRESSOR STATION,"7,368",OIL AND GAS PRODUCTION,WINTERS,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/24/2017,FINAL REPORT,08/24/2017,31.983891,-99.780281,7:15:00 AM,2:47:00 PM,79567,1
MIDLAND,168,TALL CITY COMPRESSOR STATION,"9,429",NATURAL GAS PRODUCTION,MIDLAND,NO,NO,NO,YES,HURRICANE DISRUPTED ABILITY TO OPERATE DUE TO OTHER PARTY,EMISSIONS EVENT,09/01/2017,INITIAL REPORT,09/02/2017,31.917817,-101.903485,4:20:00 PM,1:24:00 AM,79701,2
JEFFERSON,169,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,"70,110",REFINERY,PORT ARTHUR,NO,NO,YES,YES,HURRICANE DISRUPTED OPERATIONS,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,09/01/2017,29.962997,-93.890203,1:00:00 AM,1:00:00 AM,77642,22
JEFFERSON,170,TPC GROUP PORT NECHES OPERATIONS,"3,509",CHEMICAL PRODUCTION,PORT NECHES,NO,NO,YES,YES,HURRICANE SHUT DOWN RELATED FLARING,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,08/30/2017,29.980003,-93.946019,8:00:00 PM,11:00:00 AM,77651,7
JEFFERSON,171,TPC GROUP PORT NECHES OPERATIONS,"2,000",CHEMICAL PRODUCTION,PORT NECHES,NO,NO,YES,YES,HURRICANE DISRUPTED OPERATIONS,EMISSIONS EVENT,09/01/2017,,,29.980003,-93.946019,,,77651,7
CALHOUN,172,UCC SEADRIFT OPERATIONS,13,CHEMICAL PRODUCTION,SEADRIFT,NO,NO,YES,YES,HURRICANE SHUT DOWN,EMISSIONS EVENT,08/30/2017,INITIAL REPORT,08/30/2017,28.510636,-96.771528,1:50:00 PM,4:30:00 PM,77983,1
GALVESTON,173,UNION CARBIDE TEXAS CITY,"1,090",CHEMICAL PRODUCTION,TEXAS CITY,YES,YES,YES,YES,HURRICANE DISRUPTED OPERATIONS,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,08/29/2017,29.378571,-94.943963,2:30:00 PM,5:12:00 PM,77590,2
NUECES,174,VALERO CORPUS CHRISTI REFINERY EAST PLANT,"1,800",REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,POST-HURRICANE START UP,EMISSIONS EVENT,09/03/2017,INITIAL REPORT,09/03/2017,27.812578,-97.443547,8:00:00 AM,9:30:00 AM,78403,5
NUECES,175,VALERO CORPUS CHRISTI REFINERY WEST PLANT,"8,600",REFINERY,CORPUS CHRISTI,NO,NO,YES,YES,POST-HURRICANE START UP,EMISSIONS EVENT,09/03/2017,INITIAL REPORT,09/03/2017,27.817750,-97.482553,11:00:00 AM,4:00:00 PM,78407,6
